epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,284.842,0.78863,2.27421,1.39734,0.74965,0.75722,0.81797,0.65625,0.73677,1.18996,1.57789,0.000237532,0.000237532,0.000237532
2,542.913,0.72166,1.23178,1.31809,0.8579,0.8086,0.86584,0.70406,0.70921,0.80522,1.53081,0.000466117,0.000466117,0.000466117
3,792.885,0.72266,1.00872,1.3168,0.86186,0.77761,0.86488,0.68679,0.75349,0.80183,1.59283,0.000685277,0.000685277,0.000685277
4,1040.69,0.7128,0.90153,1.30373,0.94574,0.85318,0.89771,0.75625,0.64531,0.5446,1.46484,0.000671588,0.000671588,0.000671588
5,1289.91,0.69109,0.79061,1.28724,0.83195,0.86027,0.88739,0.74122,0.64287,0.57177,1.43436,0.000657451,0.000657451,0.000657451
6,1534.35,0.67061,0.73633,1.2744,0.9371,0.85216,0.88658,0.759,0.61437,0.50627,1.40257,0.000643314,0.000643314,0.000643314
7,1779.24,0.65441,0.68997,1.26197,0.944,0.86728,0.89035,0.77137,0.60471,0.47953,1.38283,0.000629177,0.000629177,0.000629177
8,2025.96,0.6495,0.66596,1.25511,0.96688,0.87268,0.89656,0.77639,0.59269,0.42085,1.38291,0.00061504,0.00061504,0.00061504
9,2272.22,0.6395,0.63994,1.24945,0.97264,0.87437,0.90202,0.78,0.58034,0.39277,1.34464,0.000600902,0.000600902,0.000600902
10,2517.88,0.64019,0.61723,1.24666,0.97074,0.8734,0.89969,0.78964,0.55524,0.38673,1.31452,0.000586765,0.000586765,0.000586765
11,2763.24,0.62263,0.59325,1.2348,0.94308,0.87046,0.89874,0.79979,0.54391,0.40409,1.30636,0.000572628,0.000572628,0.000572628
12,3011.6,0.63083,0.58446,1.2384,0.95752,0.86965,0.89681,0.78652,0.57433,0.42054,1.33054,0.000558491,0.000558491,0.000558491
13,3262.47,0.62026,0.56006,1.23145,0.97186,0.87762,0.90047,0.7947,0.54745,0.37501,1.3197,0.000544354,0.000544354,0.000544354
14,3510.93,0.61847,0.55543,1.22819,0.96777,0.885,0.90115,0.79788,0.5385,0.36184,1.30331,0.000530216,0.000530216,0.000530216
15,3754.73,0.61089,0.5413,1.22932,0.97694,0.87542,0.90198,0.79142,0.56679,0.37027,1.31739,0.000516079,0.000516079,0.000516079
16,3998.21,0.60461,0.53618,1.22327,0.98333,0.87619,0.90429,0.8004,0.52733,0.34444,1.28472,0.000501942,0.000501942,0.000501942
17,4243.49,0.61023,0.52132,1.22576,0.97267,0.87117,0.90189,0.80271,0.53142,0.35362,1.28765,0.000487805,0.000487805,0.000487805
18,4493.72,0.59759,0.50802,1.21783,0.98015,0.88307,0.90131,0.80773,0.52192,0.32625,1.27207,0.000473668,0.000473668,0.000473668
19,4736.38,0.59861,0.50391,1.21893,0.86931,0.92281,0.90166,0.80604,0.51854,0.32066,1.27655,0.00045953,0.00045953,0.00045953
20,4979.54,0.60178,0.504,1.21828,0.98589,0.88897,0.90124,0.81006,0.52348,0.31294,1.27131,0.000445393,0.000445393,0.000445393
21,5222.62,0.59714,0.49412,1.21329,0.87968,0.91409,0.91053,0.81525,0.52944,0.30986,1.28203,0.000431256,0.000431256,0.000431256
22,5469.62,0.58988,0.48198,1.21263,0.86523,0.91565,0.90484,0.8117,0.50765,0.31021,1.25982,0.000417119,0.000417119,0.000417119
23,5720.69,0.58946,0.47655,1.21207,0.98662,0.89128,0.90332,0.81272,0.5097,0.3014,1.25503,0.000402982,0.000402982,0.000402982
24,5969.6,0.58558,0.46702,1.20451,0.98072,0.88721,0.89885,0.80736,0.5004,0.31409,1.24622,0.000388844,0.000388844,0.000388844
25,6219.37,0.58096,0.46623,1.20436,0.87004,0.91475,0.9019,0.81647,0.49584,0.29724,1.24702,0.000374707,0.000374707,0.000374707
26,6468.36,0.57885,0.45758,1.20081,0.98698,0.8914,0.90757,0.82018,0.49247,0.28804,1.23932,0.00036057,0.00036057,0.00036057
27,6715.65,0.57151,0.44835,1.19949,0.98537,0.88815,0.90777,0.82329,0.49217,0.29148,1.24086,0.000346433,0.000346433,0.000346433
28,6980.56,0.5711,0.44593,1.19713,0.98674,0.89171,0.91038,0.82061,0.48755,0.28299,1.23449,0.000332296,0.000332296,0.000332296
29,7225.84,0.57382,0.4413,1.20136,0.98077,0.88967,0.90285,0.81978,0.48389,0.2918,1.23503,0.000318158,0.000318158,0.000318158
30,7471.86,0.5776,0.4467,1.20417,0.88603,0.92154,0.90238,0.81816,0.49465,0.28836,1.23451,0.000304021,0.000304021,0.000304021
31,7721.21,0.57042,0.43913,1.19425,0.88606,0.91528,0.90411,0.82139,0.48577,0.28482,1.23293,0.000289884,0.000289884,0.000289884
32,7966.71,0.56563,0.42609,1.19368,0.98602,0.893,0.90087,0.8212,0.47672,0.27601,1.22009,0.000275747,0.000275747,0.000275747
